ubigeo,departamento,provincia,distrito,tipo_area,poblacion,anio
010302,Amazonas,Bongara,Chisquilla,Total,324,2017
010303,Amazonas,Bongara,Churuja,Urbano,286,2017
010303,Amazonas,Bongara,Churuja,Rural,10,2017
010303,Amazonas,Bongara,Churuja,Total,297,2017
010304,Amazonas,Bongara,Corosha,Urbano,79,2017
010304,Amazonas,Bongara,Corosha,Rural,725,2017
010304,Amazonas,Bongara,Corosha,Total,805,2017
010305,Amazonas,Bongara,Cuispes,Urbano,393,2017
010305,Amazonas,Bongara,Cuispes,Rural,314,2017
010305,Amazonas,Bongara,Cuispes,Total,707,2017
010306,Amazonas,Bongara,Florida,Urbano,3868,2017
010306,Amazonas,Bongara,Florida,Rural,2526,2017
010306,Amazonas,Bongara,Florida,Total,6395,2017
010307,Amazonas,Bongara,Jazan,Urbano,6788,2017
010307,Amazonas,Bongara,Jazan,Rural,1270,2017
010307,Amazonas,Bongara,Jazan,Total,8059,2017
010308,Amazonas,Bongara,Recta,Urbano,63,2017
010308,Amazonas,Bongara,Recta,Rural,157,2017
010308,Amazonas,Bongara,Recta,Total,221,2017
010309,Amazonas,Bongara,San Carlos,Urbano,368,2017
010309,Amazonas,Bongara,San Carlos,Rural,140,2017
010309,Amazonas,Bongara,San Carlos,Total,508,2017
010310,Amazonas,Bongara,Shipasbamba,Urbano,848,2017
010310,Amazonas,Bongara,Shipasbamba,Rural,765,2017
010310,Amazonas,Bongara,Shipasbamba,Total,1614,2017
010311,Amazonas,Bongara,Valera,Urbano,300,2017
010311,Amazonas,Bongara,Valera,Rural,616,2017
010311,Amazonas,Bongara,Valera,Total,916,2017
010312,Amazonas,Bongara,Yambrasbamba,Urbano,2283,2017
010312,Amazonas,Bongara,Yambrasbamba,Rural,3567,2017
010312,Amazonas,Bongara,Yambrasbamba,Total,5851,2017
010401,Amazonas,Condorcanqui,Nieva,Urbano,4459,2017
010401,Amazonas,Condorcanqui,Nieva,Rural,16864,2017
010401,Amazonas,Condorcanqui,Nieva,Total,21324,2017
010402,Amazonas,Condorcanqui,El Cenepa,Urbano,1090,2017
010402,Amazonas,Condorcanqui,El Cenepa,Rural,10567,2017
010402,Amazonas,Condorcanqui,El Cenepa,Total,11657,2017
010403,Amazonas,Condorcanqui,Rio Santiago,Urbano,2283,2017
010403,Amazonas,Condorcanqui,Rio Santiago,Rural,14534,2017
010403,Amazonas,Condorcanqui,Rio Santiago,Total,16818,2017
010501,Amazonas,Luya,Lamud,Urbano,2128,2017
010501,Amazonas,Luya,Lamud,Rural,253,2017
010501,Amazonas,Luya,Lamud,Total,2381,2017
010502,Amazonas,Luya,Camporredondo,Urbano,4534,2017
010502,Amazonas,Luya,Camporredondo,Rural,2702,2017
010502,Amazonas,Luya,Camporredondo,Total,7237,2017
010503,Amazonas,Luya,Cocabamba,Urbano,377,2017
010503,Amazonas,Luya,Cocabamba,Rural,1717,2017
010503,Amazonas,Luya,Cocabamba,Total,2094,2017
010504,Amazonas,Luya,Colcamar,Urbano,1314,2017
010504,Amazonas,Luya,Colcamar,Rural,720,2017
010504,Amazonas,Luya,Colcamar,Total,2035,2017
010505,Amazonas,Luya,Conila,Urbano,1121,2017
010505,Amazonas,Luya,Conila,Rural,835,2017
010505,Amazonas,Luya,Conila,Total,1956,2017
010506,Amazonas,Luya,Inguilpata,Urbano,360,2017
010506,Amazonas,Luya,Inguilpata,Rural,165,2017
010506,Amazonas,Luya,Inguilpata,Total,526,2017
010507,Amazonas,Luya,Longuita,Urbano,220,2017
010507,Amazonas,Luya,Longuita,Rural,680,2017
010507,Amazonas,Luya,Longuita,Total,901,2017
010508,Amazonas,Luya,Lonya Chico,Urbano,365,2017
010508,Amazonas,Luya,Lonya Chico,Rural,534,2017
010508,Amazonas,Luya,Lonya Chico,Total,900,2017
010509,Amazonas,Luya,Luya,Urbano,2446,2017
010509,Amazonas,Luya,Luya,Rural,1709,2017
010509,Amazonas,Luya,Luya,Total,4155,2017
010510,Amazonas,Luya,Luya Viejo,Urbano,408,2017
010510,Amazonas,Luya,Luya Viejo,Total,408,2017
010511,Amazonas,Luya,María,Urbano,400,2017
010511,Amazonas,Luya,María,Rural,395,2017
010511,Amazonas,Luya,María,Total,796,2017
010512,Amazonas,Luya,Ocalli,Urbano,1638,2017
010512,Amazonas,Luya,Ocalli,Rural,2263,2017
010512,Amazonas,Luya,Ocalli,Total,3901,2017
010513,Amazonas,Luya,Ocumal,Urbano,552,2017
010513,Amazonas,Luya,Ocumal,Rural,3193,2017
010513,Amazonas,Luya,Ocumal,Total,3746,2017
010514,Amazonas,Luya,Pisuquia,Urbano,411,2017
010514,Amazonas,Luya,Pisuquia,Rural,4763,2017
010514,Amazonas,Luya,Pisuquia,Total,5175,2017
010515,Amazonas,Luya,Providencia,Urbano,275,2017
010515,Amazonas,Luya,Providencia,Rural,1132,2017
010515,Amazonas,Luya,Providencia,Total,1407,2017
010516,Amazonas,Luya,San Cristobal,Urbano,466,2017
010516,Amazonas,Luya,San Cristobal,Rural,117,2017
010516,Amazonas,Luya,San Cristobal,Total,583,2017
010517,Amazonas,Luya,San Francisco del Yeso,Urbano,388,2017
010517,Amazonas,Luya,San Francisco del Yeso,Rural,359,2017
010517,Amazonas,Luya,San Francisco del Yeso,Total,748,2017
010518,Amazonas,Luya,San Jerónimo,Urbano,227,2017
010518,Amazonas,Luya,San Jerónimo,Rural,454,2017
010518,Amazonas,Luya,San Jerónimo,Total,681,2017
010519,Amazonas,Luya,San Juan de Lopecancha,Urbano,73,2017
010519,Amazonas,Luya,San Juan de Lopecancha,Rural,385,2017
010519,Amazonas,Luya,San Juan de Lopecancha,Total,458,2017
010520,Amazonas,Luya,Santa Catalina,Urbano,435,2017
010520,Amazonas,Luya,Santa Catalina,Rural,1621,2017
010520,Amazonas,Luya,Santa Catalina,Total,2056,2017
010521,Amazonas,Luya,Santo Tomas,Urbano,936,2017
010521,Amazonas,Luya,Santo Tomas,Rural,2270,2017
010521,Amazonas,Luya,Santo Tomas,Total,3207,2017
010522,Amazonas,Luya,Tingo,Urbano,781,2017
010522,Amazonas,Luya,Tingo,Rural,566,2017
010522,Amazonas,Luya,Tingo,Total,1347,2017
010523,Amazonas,Luya,Trita,Urbano,893,2017
010523,Amazonas,Luya,Trita,Rural,536,2017
010523,Amazonas,Luya,Trita,Total,1430,2017
010601,Amazonas,Rodríguez de Mendoza,San Nicolás,Urbano,5130,2017
010601,Amazonas,Rodríguez de Mendoza,San Nicolás,Rural,1073,2017
010601,Amazonas,Rodríguez de Mendoza,San Nicolás,Total,6203,2017
010602,Amazonas,Rodríguez de Mendoza,Chirimoto,Urbano,65,2017
010602,Amazonas,Rodríguez de Mendoza,Chirimoto,Rural,2593,2017
010602,Amazonas,Rodríguez de Mendoza,Chirimoto,Total,2658,2017
010603,Amazonas,Rodríguez de Mendoza,Cochamal,Urbano,540,2017
010603,Amazonas,Rodríguez de Mendoza,Cochamal,Rural,83,2017
010603,Amazonas,Rodríguez de Mendoza,Cochamal,Total,623,2017
010604,Amazonas,Rodríguez de Mendoza,Huambo,Urbano,807,2017
010604,Amazonas,Rodríguez de Mendoza,Huambo,Rural,1993,2017
010604,Amazonas,Rodríguez de Mendoza,Huambo,Total,2801,2017
010605,Amazonas,Rodríguez de Mendoza,Limabamba,Urbano,447,2017
010605,Amazonas,Rodríguez de Mendoza,Limabamba,Rural,2056,2017
010605,Amazonas,Rodríguez de Mendoza,Limabamba,Total,2503,2017
010606,Amazonas,Rodríguez de Mendoza,Longar,Urbano,909,2017
010606,Amazonas,Rodríguez de Mendoza,Longar,Rural,800,2017
010606,Amazonas,Rodríguez de Mendoza,Longar,Total,1710,2017
010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,Urbano,1050,2017
010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,Rural,517,2017
010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,Total,1567,2017
010608,Amazonas,Rodríguez de Mendoza,Milpuc,Urbano,265,2017
010608,Amazonas,Rodríguez de Mendoza,Milpuc,Rural,203,2017
010608,Amazonas,Rodríguez de Mendoza,Milpuc,Total,468,2017
010609,Amazonas,Rodríguez de Mendoza,Omia,Urbano,582,2017
010609,Amazonas,Rodríguez de Mendoza,Omia,Rural,8875,2017
010609,Amazonas,Rodríguez de Mendoza,Omia,Total,9458,2017
010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,Urbano,159,2017
010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,Rural,379,2017
010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,Total,538,2017
010611,Amazonas,Rodríguez de Mendoza,Totora,Urbano,65,2017
