ubigeo,distrito,tipo_area,poblacion,anio
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",Urbano censal,35233,2017
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",Rural censal,634,2017
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",Total,35867,2017
010102,"Amazonas, Chachapoyas, distrito: Asunción",Urbano censal,155,2017
010102,"Amazonas, Chachapoyas, distrito: Asunción",Rural censal,127,2017
010102,"Amazonas, Chachapoyas, distrito: Asunción",Total,283,2017
010103,"Amazonas, Chachapoyas, distrito: Balsas",Urbano censal,371,2017
010103,"Amazonas, Chachapoyas, distrito: Balsas",Rural censal,861,2017
010103,"Amazonas, Chachapoyas, distrito: Balsas",Total,1232,2017
010104,"Amazonas, Chachapoyas, distrito: Cheto",Urbano censal,473,2017
010104,"Amazonas, Chachapoyas, distrito: Cheto",Rural censal,208,2017
010104,"Amazonas, Chachapoyas, distrito: Cheto",Total,681,2017
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",Urbano censal,200,2017
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",Rural censal,427,2017
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",Total,628,2017
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",Urbano censal,570,2017
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",Rural censal,1408,2017
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",Total,1978,2017
010107,"Amazonas, Chachapoyas, distrito: Granada",Urbano censal,191,2017
010107,"Amazonas, Chachapoyas, distrito: Granada",Rural censal,326,2017
010107,"Amazonas, Chachapoyas, distrito: Granada",Total,517,2017
010108,"Amazonas, Chachapoyas, distrito: Huancas",Urbano censal,1239,2017
010108,"Amazonas, Chachapoyas, distrito: Huancas",Rural censal,46,2017
010108,"Amazonas, Chachapoyas, distrito: Huancas",Total,1286,2017
010109,"Amazonas, Chachapoyas, distrito: La Jalca",Urbano censal,2521,2017
010109,"Amazonas, Chachapoyas, distrito: La Jalca",Rural censal,1731,2017
010109,"Amazonas, Chachapoyas, distrito: La Jalca",Total,4253,2017
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",Urbano censal,2957,2017
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",Rural censal,913,2017
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",Total,3871,2017
010111,"Amazonas, Chachapoyas, distrito: Levanto",Urbano censal,482,2017
010111,"Amazonas, Chachapoyas, distrito: Levanto",Rural censal,355,2017
010111,"Amazonas, Chachapoyas, distrito: Levanto",Total,838,2017
010112,"Amazonas, Chachapoyas, distrito: Magdalena",Urbano censal,746,2017
010112,"Amazonas, Chachapoyas, distrito: Magdalena",Rural censal,166,2017
010112,"Amazonas, Chachapoyas, distrito: Magdalena",Total,913,2017
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",Urbano censal,1033,2017
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",Rural censal,420,2017
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",Total,1454,2017
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",Urbano censal,694,2017
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",Rural censal,1640,2017
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",Total,2334,2017
010115,"Amazonas, Chachapoyas, distrito: Montevideo",Urbano censal,488,2017
010115,"Amazonas, Chachapoyas, distrito: Montevideo",Rural censal,39,2017
010115,"Amazonas, Chachapoyas, distrito: Montevideo",Total,527,2017
010116,"Amazonas, Chachapoyas, distrito: Olleros",Urbano censal,147,2017
010116,"Amazonas, Chachapoyas, distrito: Olleros",Rural censal,271,2017
010116,"Amazonas, Chachapoyas, distrito: Olleros",Total,418,2017
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",Urbano censal,106,2017
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",Rural censal,721,2017
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",Total,828,2017
010118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",Urbano censal,242,2017
010118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",Rural censal,78,2017
010118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",Total,320,2017
010119,"Amazonas, Chachapoyas, distrito: San Isidro de Maino",Urbano censal,451,2017
010119,"Amazonas, Chachapoyas, distrito: San Isidro de Maino",Rural censal,161,2017
010119,"Amazonas, Chachapoyas, distrito: San Isidro de Maino",Total,613,2017
010120,"Amazonas, Chachapoyas, distrito: Soloco",Urbano censal,240,2017
010120,"Amazonas, Chachapoyas, distrito: Soloco",Rural censal,1060,2017
010120,"Amazonas, Chachapoyas, distrito: Soloco",Total,1300,2017
010121,"Amazonas, Chachapoyas, distrito: Sonche",Urbano censal,110,2017
010121,"Amazonas, Chachapoyas, distrito: Sonche",Rural censal,157,2017
010121,"Amazonas, Chachapoyas, distrito: Sonche",Total,268,2017
010201,"Amazonas, Bagua, distrito: Bagua",Urbano censal,26241,2017
010201,"Amazonas, Bagua, distrito: Bagua",Rural censal,2594,2017
010201,"Amazonas, Bagua, distrito: Bagua",Total,28836,2017
010202,"Amazonas, Bagua, distrito: Aramango",Urbano censal,2935,2017
010202,"Amazonas, Bagua, distrito: Aramango",Rural censal,7551,2017
010202,"Amazonas, Bagua, distrito: Aramango",Total,10486,2017
010203,"Amazonas, Bagua, distrito: Copallin",Urbano censal,2466,2017
010203,"Amazonas, Bagua, distrito: Copallin",Rural censal,2505,2017
010203,"Amazonas, Bagua, distrito: Copallin",Total,4971,2017
010204,"Amazonas, Bagua, distrito: El Parco",Urbano censal,671,2017
010204,"Amazonas, Bagua, distrito: El Parco",Rural censal,621,2017
010204,"Amazonas, Bagua, distrito: El Parco",Total,1292,2017
010205,"Amazonas, Bagua, distrito: Imaza",Urbano censal,5376,2017
010205,"Amazonas, Bagua, distrito: Imaza",Rural censal,24475,2017
010205,"Amazonas, Bagua, distrito: Imaza",Total,29851,2017
010206,"Amazonas, Bagua, distrito: La Peca",Urbano censal,4174,2017
010206,"Amazonas, Bagua, distrito: La Peca",Rural censal,2578,2017
010206,"Amazonas, Bagua, distrito: La Peca",Total,6753,2017
010301,"Amazonas, Bongara, distrito: Jumbilla",Urbano censal,1139,2017
010301,"Amazonas, Bongara, distrito: Jumbilla",Rural censal,245,2017
010301,"Amazonas, Bongara, distrito: Jumbilla",Total,1384,2017
010302,"Amazonas, Bongara, distrito: Chisquilla",Urbano censal,126,2017
010302,"Amazonas, Bongara, distrito: Chisquilla",Rural censal,197,2017
010302,"Amazonas, Bongara, distrito: Chisquilla",Total,324,2017
010303,"Amazonas, Bongara, distrito: Churuja",Urbano censal,286,2017
010303,"Amazonas, Bongara, distrito: Churuja",Rural censal,10,2017
010303,"Amazonas, Bongara, distrito: Churuja",Total,297,2017
010304,"Amazonas, Bongara, distrito: Corosha",Urbano censal,79,2017
010304,"Amazonas, Bongara, distrito: Corosha",Rural censal,725,2017
010304,"Amazonas, Bongara, distrito: Corosha",Total,805,2017
010305,"Amazonas, Bongara, distrito: Cuispes",Urbano censal,393,2017
010305,"Amazonas, Bongara, distrito: Cuispes",Rural censal,314,2017
010305,"Amazonas, Bongara, distrito: Cuispes",Total,707,2017
010306,"Amazonas, Bongara, distrito: Florida",Urbano censal,3868,2017
010306,"Amazonas, Bongara, distrito: Florida",Rural censal,2526,2017
010306,"Amazonas, Bongara, distrito: Florida",Total,6395,2017
010307,"Amazonas, Bongara, distrito: Jazan",Urbano censal,6788,2017
010307,"Amazonas, Bongara, distrito: Jazan",Rural censal,1270,2017
010307,"Amazonas, Bongara, distrito: Jazan",Total,8059,2017
010308,"Amazonas, Bongara, distrito: Recta",Urbano censal,63,2017
010308,"Amazonas, Bongara, distrito: Recta",Rural censal,157,2017
010308,"Amazonas, Bongara, distrito: Recta",Total,221,2017
010309,"Amazonas, Bongara, distrito: San Carlos",Urbano censal,368,2017
010309,"Amazonas, Bongara, distrito: San Carlos",Rural censal,140,2017
010309,"Amazonas, Bongara, distrito: San Carlos",Total,508,2017
010310,"Amazonas, Bongara, distrito: Shipasbamba",Urbano censal,848,2017
010310,"Amazonas, Bongara, distrito: Shipasbamba",Rural censal,765,2017
010310,"Amazonas, Bongara, distrito: Shipasbamba",Total,1614,2017
010311,"Amazonas, Bongara, distrito: Valera",Urbano censal,300,2017
010311,"Amazonas, Bongara, distrito: Valera",Rural censal,616,2017
010311,"Amazonas, Bongara, distrito: Valera",Total,916,2017
010312,"Amazonas, Bongara, distrito: Yambrasbamba",Urbano censal,2283,2017
010312,"Amazonas, Bongara, distrito: Yambrasbamba",Rural censal,3567,2017
010312,"Amazonas, Bongara, distrito: Yambrasbamba",Total,5851,2017
010401,"Amazonas, Condorcanqui, distrito: Nieva",Urbano censal,4459,2017
010401,"Amazonas, Condorcanqui, distrito: Nieva",Rural censal,16864,2017
010401,"Amazonas, Condorcanqui, distrito: Nieva",Total,21324,2017
010402,"Amazonas, Condorcanqui, distrito: El Cenepa",Urbano censal,1090,2017
010402,"Amazonas, Condorcanqui, distrito: El Cenepa",Rural censal,10567,2017
010402,"Amazonas, Condorcanqui, distrito: El Cenepa",Total,11657,2017
010403,"Amazonas, Condorcanqui, distrito: Rio Santiago",Urbano censal,2283,2017
010403,"Amazonas, Condorcanqui, distrito: Rio Santiago",Rural censal,14534,2017
010403,"Amazonas, Condorcanqui, distrito: Rio Santiago",Total,16818,2017
010501,"Amazonas, Luya, distrito: Lamud",Urbano censal,2128,2017
010501,"Amazonas, Luya, distrito: Lamud",Rural censal,253,2017
010501,"Amazonas, Luya, distrito: Lamud",Total,2381,2017
010502,"Amazonas, Luya, distrito: Camporredondo",Urbano censal,4534,2017
010502,"Amazonas, Luya, distrito: Camporredondo",Rural censal,2702,2017
010502,"Amazonas, Luya, distrito: Camporredondo",Total,7237,2017
010503,"Amazonas, Luya, distrito: Cocabamba",Urbano censal,377,2017
010503,"Amazonas, Luya, distrito: Cocabamba",Rural censal,1717,2017
010503,"Amazonas, Luya, distrito: Cocabamba",Total,2094,2017
010504,"Amazonas, Luya, distrito: Colcamar",Urbano censal,1314,2017
010504,"Amazonas, Luya, distrito: Colcamar",Rural censal,720,2017
010504,"Amazonas, Luya, distrito: Colcamar",Total,2035,2017
010505,"Amazonas, Luya, distrito: Conila",Urbano censal,1121,2017
010505,"Amazonas, Luya, distrito: Conila",Rural censal,835,2017
010505,"Amazonas, Luya, distrito: Conila",Total,1956,2017
010506,"Amazonas, Luya, distrito: Inguilpata",Urbano censal,360,2017
010506,"Amazonas, Luya, distrito: Inguilpata",Rural censal,165,2017
010506,"Amazonas, Luya, distrito: Inguilpata",Total,526,2017
010507,"Amazonas, Luya, distrito: Longuita",Urbano censal,220,2017
010507,"Amazonas, Luya, distrito: Longuita",Rural censal,680,2017
010507,"Amazonas, Luya, distrito: Longuita",Total,901,2017
010508,"Amazonas, Luya, distrito: Lonya Chico",Urbano censal,365,2017
010508,"Amazonas, Luya, distrito: Lonya Chico",Rural censal,534,2017
010508,"Amazonas, Luya, distrito: Lonya Chico",Total,900,2017
010509,"Amazonas, Luya, distrito: Luya",Urbano censal,2446,2017
010509,"Amazonas, Luya, distrito: Luya",Rural censal,1709,2017
010509,"Amazonas, Luya, distrito: Luya",Total,4155,2017
010510,"Amazonas, Luya, distrito: Luya Viejo",Urbano censal,408,2017
010510,"Amazonas, Luya, distrito: Luya Viejo",Total,408,2017
010511,"Amazonas, Luya, distrito: María",Urbano censal,400,2017
010511,"Amazonas, Luya, distrito: María",Rural censal,395,2017
010511,"Amazonas, Luya, distrito: María",Total,796,2017
010512,"Amazonas, Luya, distrito: Ocalli",Urbano censal,1638,2017
010512,"Amazonas, Luya, distrito: Ocalli",Rural censal,2263,2017
010512,"Amazonas, Luya, distrito: Ocalli",Total,3901,2017
010513,"Amazonas, Luya, distrito: Ocumal",Urbano censal,552,2017
010513,"Amazonas, Luya, distrito: Ocumal",Rural censal,3193,2017
010513,"Amazonas, Luya, distrito: Ocumal",Total,3746,2017
010514,"Amazonas, Luya, distrito: Pisuquia",Urbano censal,411,2017
010514,"Amazonas, Luya, distrito: Pisuquia",Rural censal,4763,2017
010514,"Amazonas, Luya, distrito: Pisuquia",Total,5175,2017
010515,"Amazonas, Luya, distrito: Providencia",Urbano censal,275,2017
010515,"Amazonas, Luya, distrito: Providencia",Rural censal,1132,2017
010515,"Amazonas, Luya, distrito: Providencia",Total,1407,2017
010516,"Amazonas, Luya, distrito: San Cristobal",Urbano censal,466,2017
010516,"Amazonas, Luya, distrito: San Cristobal",Rural censal,117,2017
010516,"Amazonas, Luya, distrito: San Cristobal",Total,583,2017
010517,"Amazonas, Luya, distrito: San Francisco del Yeso",Urbano censal,388,2017
010517,"Amazonas, Luya, distrito: San Francisco del Yeso",Rural censal,359,2017
010517,"Amazonas, Luya, distrito: San Francisco del Yeso",Total,748,2017
010518,"Amazonas, Luya, distrito: San Jerónimo",Urbano censal,227,2017
010518,"Amazonas, Luya, distrito: San Jerónimo",Rural censal,454,2017
010518,"Amazonas, Luya, distrito: San Jerónimo",Total,681,2017
010519,"Amazonas, Luya, distrito: San Juan de Lopecancha",Urbano censal,73,2017
010519,"Amazonas, Luya, distrito: San Juan de Lopecancha",Rural censal,385,2017
010519,"Amazonas, Luya, distrito: San Juan de Lopecancha",Total,458,2017
010520,"Amazonas, Luya, distrito: Santa Catalina",Urbano censal,435,2017
010520,"Amazonas, Luya, distrito: Santa Catalina",Rural censal,1621,2017
010520,"Amazonas, Luya, distrito: Santa Catalina",Total,2056,2017
010521,"Amazonas, Luya, distrito: Santo Tomas",Urbano censal,936,2017
010521,"Amazonas, Luya, distrito: Santo Tomas",Rural censal,2270,2017
010521,"Amazonas, Luya, distrito: Santo Tomas",Total,3207,2017
010522,"Amazonas, Luya, distrito: Tingo",Urbano censal,781,2017
010522,"Amazonas, Luya, distrito: Tingo",Rural censal,566,2017
010522,"Amazonas, Luya, distrito: Tingo",Total,1347,2017
010523,"Amazonas, Luya, distrito: Trita",Urbano censal,893,2017
010523,"Amazonas, Luya, distrito: Trita",Rural censal,536,2017
010523,"Amazonas, Luya, distrito: Trita",Total,1430,2017
010601,"Amazonas, Rodríguez de Mendoza, distrito: San Nicolás",Urbano censal,5130,2017
010601,"Amazonas, Rodríguez de Mendoza, distrito: San Nicolás",Rural censal,1073,2017
010601,"Amazonas, Rodríguez de Mendoza, distrito: San Nicolás",Total,6203,2017
010602,"Amazonas, Rodríguez de Mendoza, distrito: Chirimoto",Urbano censal,65,2017
010602,"Amazonas, Rodríguez de Mendoza, distrito: Chirimoto",Rural censal,2593,2017
010602,"Amazonas, Rodríguez de Mendoza, distrito: Chirimoto",Total,2658,2017
010603,"Amazonas, Rodríguez de Mendoza, distrito: Cochamal",Urbano censal,540,2017
010603,"Amazonas, Rodríguez de Mendoza, distrito: Cochamal",Rural censal,83,2017
010603,"Amazonas, Rodríguez de Mendoza, distrito: Cochamal",Total,623,2017
010604,"Amazonas, Rodríguez de Mendoza, distrito: Huambo",Urbano censal,807,2017
010604,"Amazonas, Rodríguez de Mendoza, distrito: Huambo",Rural censal,1993,2017
010604,"Amazonas, Rodríguez de Mendoza, distrito: Huambo",Total,2801,2017
010605,"Amazonas, Rodríguez de Mendoza, distrito: Limabamba",Urbano censal,447,2017
010605,"Amazonas, Rodríguez de Mendoza, distrito: Limabamba",Rural censal,2056,2017
010605,"Amazonas, Rodríguez de Mendoza, distrito: Limabamba",Total,2503,2017
010606,"Amazonas, Rodríguez de Mendoza, distrito: Longar",Urbano censal,909,2017
010606,"Amazonas, Rodríguez de Mendoza, distrito: Longar",Rural censal,800,2017
010606,"Amazonas, Rodríguez de Mendoza, distrito: Longar",Total,1710,2017
010607,"Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides",Urbano censal,1050,2017
010607,"Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides",Rural censal,517,2017
010607,"Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides",Total,1567,2017
010608,"Amazonas, Rodríguez de Mendoza, distrito: Milpuc",Urbano censal,265,2017
010608,"Amazonas, Rodríguez de Mendoza, distrito: Milpuc",Rural censal,203,2017
010608,"Amazonas, Rodríguez de Mendoza, distrito: Milpuc",Total,468,2017
010609,"Amazonas, Rodríguez de Mendoza, distrito: Omia",Urbano censal,582,2017
010609,"Amazonas, Rodríguez de Mendoza, distrito: Omia",Rural censal,8875,2017
010609,"Amazonas, Rodríguez de Mendoza, distrito: Omia",Total,9458,2017
010610,"Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa",Urbano censal,159,2017
010610,"Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa",Rural censal,379,2017
010610,"Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa",Total,538,2017
010611,"Amazonas, Rodríguez de Mendoza, distrito: Totora",Urbano censal,65,2017
010611,"Amazonas, Rodríguez de Mendoza, distrito: Totora",Rural censal,229,2017
010611,"Amazonas, Rodríguez de Mendoza, distrito: Totora",Total,294,2017
010612,"Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre",Urbano censal,359,2017
010612,"Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre",Rural censal,2939,2017
010612,"Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre",Total,3299,2017
010701,"Amazonas, Utcubamba, distrito: Bagua Grande",Urbano censal,39006,2017
010701,"Amazonas, Utcubamba, distrito: Bagua Grande",Rural censal,16757,2017
010701,"Amazonas, Utcubamba, distrito: Bagua Grande",Total,55764,2017
010702,"Amazonas, Utcubamba, distrito: Cajaruro",Urbano censal,8494,2017
010702,"Amazonas, Utcubamba, distrito: Cajaruro",Rural censal,16609,2017
010702,"Amazonas, Utcubamba, distrito: Cajaruro",Total,25103,2017
010703,"Amazonas, Utcubamba, distrito: Cumba",Urbano censal,3309,2017
010703,"Amazonas, Utcubamba, distrito: Cumba",Rural censal,5558,2017
010703,"Amazonas, Utcubamba, distrito: Cumba",Total,8867,2017
010704,"Amazonas, Utcubamba, distrito: El Milagro",Urbano censal,3097,2017
010704,"Amazonas, Utcubamba, distrito: El Milagro",Rural censal,3288,2017
010704,"Amazonas, Utcubamba, distrito: El Milagro",Total,6385,2017
010705,"Amazonas, Utcubamba, distrito: Jamalca",Urbano censal,1404,2017
010705,"Amazonas, Utcubamba, distrito: Jamalca",Rural censal,5914,2017
010705,"Amazonas, Utcubamba, distrito: Jamalca",Total,7318,2017
010706,"Amazonas, Utcubamba, distrito: Lonya Grande",Urbano censal,4016,2017
010706,"Amazonas, Utcubamba, distrito: Lonya Grande",Rural censal,6920,2017
010706,"Amazonas, Utcubamba, distrito: Lonya Grande",Total,10937,2017
010707,"Amazonas, Utcubamba, distrito: Yamon",Urbano censal,592,2017
010707,"Amazonas, Utcubamba, distrito: Yamon",Rural censal,2627,2017
010707,"Amazonas, Utcubamba, distrito: Yamon",Total,3220,2017
020101,"Áncash, Huaraz, distrito: Huaraz",Urbano censal,59338,2017
020101,"Áncash, Huaraz, distrito: Huaraz",Rural censal,5666,2017
020101,"Áncash, Huaraz, distrito: Huaraz",Total,65005,2017
020102,"Áncash, Huaraz, distrito: Cochabamba",Urbano censal,475,2017
020102,"Áncash, Huaraz, distrito: Cochabamba",Rural censal,1269,2017
020102,"Áncash, Huaraz, distrito: Cochabamba",Total,1744,2017
020103,"Áncash, Huaraz, distrito: Colcabamba",Urbano censal,142,2017
020103,"Áncash, Huaraz, distrito: Colcabamba",Rural censal,181,2017
020103,"Áncash, Huaraz, distrito: Colcabamba",Total,324,2017
020104,"Áncash, Huaraz, distrito: Huanchay",Urbano censal,310,2017
020104,"Áncash, Huaraz, distrito: Huanchay",Rural censal,1426,2017
020104,"Áncash, Huaraz, distrito: Huanchay",Total,1737,2017
020105,"Áncash, Huaraz, distrito: Independencia",Urbano censal,67943,2017
020105,"Áncash, Huaraz, distrito: Independencia",Rural censal,12666,2017
020105,"Áncash, Huaraz, distrito: Independencia",Total,80610,2017
020106,"Áncash, Huaraz, distrito: Jangas",Urbano censal,2628,2017
020106,"Áncash, Huaraz, distrito: Jangas",Rural censal,2342,2017
020106,"Áncash, Huaraz, distrito: Jangas",Total,4971,2017
020107,"Áncash, Huaraz, distrito: La Libertad",Urbano censal,299,2017
020107,"Áncash, Huaraz, distrito: La Libertad",Rural censal,831,2017
020107,"Áncash, Huaraz, distrito: La Libertad",Total,1130,2017
020108,"Áncash, Huaraz, distrito: Olleros",Urbano censal,1271,2017
020108,"Áncash, Huaraz, distrito: Olleros",Rural censal,1224,2017
020108,"Áncash, Huaraz, distrito: Olleros",Total,2496,2017
020109,"Áncash, Huaraz, distrito: Pampas Grande",Urbano censal,356,2017
020109,"Áncash, Huaraz, distrito: Pampas Grande",Rural censal,687,2017
020109,"Áncash, Huaraz, distrito: Pampas Grande",Total,1044,2017
020110,"Áncash, Huaraz, distrito: Pariacoto",Urbano censal,1354,2017
020110,"Áncash, Huaraz, distrito: Pariacoto",Rural censal,3635,2017
020110,"Áncash, Huaraz, distrito: Pariacoto",Total,4990,2017
020111,"Áncash, Huaraz, distrito: Pira",Urbano censal,1200,2017
020111,"Áncash, Huaraz, distrito: Pira",Rural censal,2321,2017
020111,"Áncash, Huaraz, distrito: Pira",Total,3522,2017
020112,"Áncash, Huaraz, distrito: Tarica",Urbano censal,1982,2017
020112,"Áncash, Huaraz, distrito: Tarica",Rural censal,4976,2017
020112,"Áncash, Huaraz, distrito: Tarica",Total,6958,2017
020201,"Áncash, Aija, distrito: Aija",Urbano censal,1068,2017
020201,"Áncash, Aija, distrito: Aija",Rural censal,1061,2017
020201,"Áncash, Aija, distrito: Aija",Total,2130,2017
020202,"Áncash, Aija, distrito: Coris",Urbano censal,417,2017
020202,"Áncash, Aija, distrito: Coris",Rural censal,1301,2017
020202,"Áncash, Aija, distrito: Coris",Total,1719,2017
020203,"Áncash, Aija, distrito: Huacllan",Urbano censal,227,2017
020203,"Áncash, Aija, distrito: Huacllan",Rural censal,160,2017
020203,"Áncash, Aija, distrito: Huacllan",Total,388,2017
020204,"Áncash, Aija, distrito: La Merced",Urbano censal,280,2017
020204,"Áncash, Aija, distrito: La Merced",Rural censal,1369,2017
020204,"Áncash, Aija, distrito: La Merced",Total,1649,2017
020205,"Áncash, Aija, distrito: Succha",Urbano censal,312,2017
020205,"Áncash, Aija, distrito: Succha",Rural censal,439,2017
020205,"Áncash, Aija, distrito: Succha",Total,752,2017
020301,"Áncash, Antonio Raymondi, distrito: Llamellin",Urbano censal,1887,2017
020301,"Áncash, Antonio Raymondi, distrito: Llamellin",Rural censal,1569,2017
020301,"Áncash, Antonio Raymondi, distrito: Llamellin",Total,3457,2017
020302,"Áncash, Antonio Raymondi, distrito: Aczo",Urbano censal,827,2017
020302,"Áncash, Antonio Raymondi, distrito: Aczo",Rural censal,1186,2017
020302,"Áncash, Antonio Raymondi, distrito: Aczo",Total,2013,2017
020303,"Áncash, Antonio Raymondi, distrito: Chaccho",Urbano censal,461,2017
020303,"Áncash, Antonio Raymondi, distrito: Chaccho",Rural censal,971,2017
020303,"Áncash, Antonio Raymondi, distrito: Chaccho",Total,1433,2017
020304,"Áncash, Antonio Raymondi, distrito: Chingas",Urbano censal,900,2017
020304,"Áncash, Antonio Raymondi, distrito: Chingas",Rural censal,1048,2017
020304,"Áncash, Antonio Raymondi, distrito: Chingas",Total,1949,2017
020305,"Áncash, Antonio Raymondi, distrito: Mirgas",Urbano censal,1305,2017
020305,"Áncash, Antonio Raymondi, distrito: Mirgas",Rural censal,2984,2017
020305,"Áncash, Antonio Raymondi, distrito: Mirgas",Total,4290,2017
020306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",Urbano censal,196,2017
020306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",Rural censal,1020,2017
020306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",Total,1216,2017
020401,"Áncash, Asunción, distrito: Chacas",Urbano censal,2066,2017
020401,"Áncash, Asunción, distrito: Chacas",Rural censal,2768,2017
020401,"Áncash, Asunción, distrito: Chacas",Total,4834,2017
020402,"Áncash, Asunción, distrito: Acochaca",Urbano censal,260,2017
020402,"Áncash, Asunción, distrito: Acochaca",Rural censal,2777,2017
020402,"Áncash, Asunción, distrito: Acochaca",Total,3038,2017
020501,"Áncash, Bolognesi, distrito: Chiquian",Urbano censal,3790,2017
020501,"Áncash, Bolognesi, distrito: Chiquian",Rural censal,269,2017
020501,"Áncash, Bolognesi, distrito: Chiquian",Total,4060,2017
020502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",Urbano censal,214,2017
020502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",Rural censal,45,2017
020502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",Total,260,2017
020503,"Áncash, Bolognesi, distrito: Antonio Raymondi",Urbano censal,355,2017
020503,"Áncash, Bolognesi, distrito: Antonio Raymondi",Rural censal,690,2017
020503,"Áncash, Bolognesi, distrito: Antonio Raymondi",Total,1045,2017
020504,"Áncash, Bolognesi, distrito: Aquia",Urbano censal,1155,2017
020504,"Áncash, Bolognesi, distrito: Aquia",Rural censal,1048,2017
020504,"Áncash, Bolognesi, distrito: Aquia",Total,2203,2017
020505,"Áncash, Bolognesi, distrito: Cajacay",Urbano censal,709,2017
020505,"Áncash, Bolognesi, distrito: Cajacay",Rural censal,1101,2017
020505,"Áncash, Bolognesi, distrito: Cajacay",Total,1810,2017
020506,"Áncash, Bolognesi, distrito: Canis",Urbano censal,316,2017
020506,"Áncash, Bolognesi, distrito: Canis",Rural censal,11,2017
020506,"Áncash, Bolognesi, distrito: Canis",Total,328,2017
020507,"Áncash, Bolognesi, distrito: Colquioc",Urbano censal,1740,2017
020507,"Áncash, Bolognesi, distrito: Colquioc",Rural censal,723,2017
020507,"Áncash, Bolognesi, distrito: Colquioc",Total,2463,2017
020508,"Áncash, Bolognesi, distrito: Huallanca",Urbano censal,5658,2017
020508,"Áncash, Bolognesi, distrito: Huallanca",Rural censal,1090,2017
020508,"Áncash, Bolognesi, distrito: Huallanca",Total,6749,2017
020509,"Áncash, Bolognesi, distrito: Huasta",Urbano censal,1161,2017
020509,"Áncash, Bolognesi, distrito: Huasta",Rural censal,342,2017
020509,"Áncash, Bolognesi, distrito: Huasta",Total,1504,2017
020510,"Áncash, Bolognesi, distrito: Huayllacayan",Urbano censal,354,2017
020510,"Áncash, Bolognesi, distrito: Huayllacayan",Rural censal,981,2017
020510,"Áncash, Bolognesi, distrito: Huayllacayan",Total,1336,2017
020511,"Áncash, Bolognesi, distrito: La Primavera",Urbano censal,361,2017
020511,"Áncash, Bolognesi, distrito: La Primavera",Rural censal,116,2017
020511,"Áncash, Bolognesi, distrito: La Primavera",Total,477,2017
020512,"Áncash, Bolognesi, distrito: Mangas",Urbano censal,388,2017
020512,"Áncash, Bolognesi, distrito: Mangas",Rural censal,133,2017
020512,"Áncash, Bolognesi, distrito: Mangas",Total,522,2017
020513,"Áncash, Bolognesi, distrito: Pacllon",Urbano censal,863,2017
020513,"Áncash, Bolognesi, distrito: Pacllon",Rural censal,108,2017
020513,"Áncash, Bolognesi, distrito: Pacllon",Total,971,2017
020514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",Urbano censal,432,2017
020514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",Rural censal,86,2017
020514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",Total,519,2017
020515,"Áncash, Bolognesi, distrito: Ticllos",Urbano censal,597,2017
020515,"Áncash, Bolognesi, distrito: Ticllos",Rural censal,89,2017
020515,"Áncash, Bolognesi, distrito: Ticllos",Total,686,2017
